Município,Codigo_IBGE,Gentílico,Prefeito,Área Territorial,População Estimada,Densidade Demográfica,Escolarização 6 a 14 anos,IDHM,Mortalidade Infantil,Receitas Realizadas,Despesas empenhadas,PIB per capita
SÃO JOÃO EVANGELISTA,3162807,evangelistano,HÉRCULES JOSÉ PROCÓPIO,478.183,15761,32.53,96.2,638,4.15,3462442999,3190351488,1081067
SÃO JOÃO NEPOMUCENO,3162906,são-joanense,ERNANDES JOSÉ DA SILVA,407.427,26530,61.50,97,708,13.61,5997115156,5092753864,1504838
SÃO JOAQUIM DE BICAS,3162922,sanjoaquimbiquense,ANTONIO AUGUSTO RESENDE MAIA,71.758,32696,356.88,95.7,662,2.21,6508458831,6225210589,2015018
SÃO JOSÉ DA BARRA,3162948,são josé barrense,PAULO SERGIO LEANDRO DE OLIVEIRA,308.319,7532,21.57,99.2,739,21.98,285936536,2719423969,7548047
SÃO JOSÉ DA LAPA,3162955,lapense,DIEGO ALVARO DOS SANTOS SILVA,47.930,24490,413.08,98.5,729,11.59,6239125427,5726794144,2029782
SÃO JOSÉ DA SAFIRA,3163003,safirense,WILLIS APARECIDO ALVES,213.881,4291,19.05,95.5,583,15.87,2041605364,1668229026,905775
SÃO JOSÉ DA VARGINHA,3163102,varginense-de-são-josé,VANDEIR PAULINO DA SILVA,205.501,5151,20.43,98.4,704,-,1767167739,130918561,1667237
SÃO JOSÉ DO ALEGRE,3163201,alegrense,PAULO SERGIO DA SIVLA,88.794,4222,45.00,99.1,717,-,1462396224,1318804477,1199587
SÃO JOSÉ DO DIVINO,3163300,são-josé-divinense,GERALDO GUEDES RODRIGUES,328.704,3851,11.66,97.7,658,29.41,1584251284,1402482525,970833
SÃO JOSÉ DO GOIABAL,3163409,goiabalense,JOSE ROBERTO GARIFF GUIMARAES,189.578,5356,30.55,98.8,666,16.13,1564584829,1473202072,986590
SÃO JOSÉ DO JACURI,3163508,jacuriense,CLAUDIO JOSE SANTOS ROCHA,345.146,6409,18.99,95.8,566,-,1905451281,1638459783,970627
SÃO JOSÉ DO MANTIMENTO,3163607,mantimentense,HELIO MARCIO GOMES,54.701,2821,47.38,95.8,657,-,1300165486,1268089818,1154062
SÃO LOURENÇO,3163706,são-lourenciano,WALTER JOSE LESSA,58.019,46539,717.99,98.3,759,12,14752529626,13768231286,2295342
SÃO MIGUEL DO ANTA,3163805,são-miguelense,VICENTE PATRÍCIO DE SOUZA JÚNIOR,152.111,6949,44.44,98.5,644,34.48,1783128522,1536831821,1109934
SÃO PEDRO DA UNIÃO,3163904,são-pedrense,CUSTÓDIO RIBEIRO GARCIA,260.827,4563,19.32,96.2,674,36.36,1752906787,1449648203,1932874
SÃO PEDRO DOS FERROS,3164001,ferrense,NEWTON GABRIEL AVELAR,402.739,7634,20.75,97.3,659,22.47,1777664188,1523195253,1437798
SÃO PEDRO DO SUAÇUÍ,3164100,são-pedrense,EUZÉBIO TEIXEIRA DE SOUZA,308.106,5160,18.08,96.9,622,31.75,1610515783,1408195116,1133653
SÃO ROMÃO,3164209,são-romano,MARCELO MEIRELES DE MENDONÇA,2.434.004,12713,4.22,97.4,640,10.53,2685910115,2380128935,1326042
SÃO ROQUE DE MINAS,3164308,são-roquense,ONESIO DE OLIVEIRA ANDRADE,2.098.867,7100,3.19,98,672,14.29,2320855225,2261117045,2923825
SÃO SEBASTIÃO DA BELA VISTA,3164407,bela-vistense,RONALDO LAURINDO BUENO,167.428,5598,29.60,97.6,692,13.89,2126822069,1885403613,6840103
SÃO SEBASTIÃO DA VARGEM ALEGRE,3164431,são sebastião vargem alegrense,ARCEDINO JOSE DE ALMEIDA,73.629,3039,38.00,97.7,660,25.64,1661315996,1412555814,1679198
SÃO SEBASTIÃO DO ANTA,3164472,antense,OSMANINHO CUSTODIO DE MELO,80.618,6697,71.19,98.4,607,-,1723306927,1654901414,1002283
SÃO SEBASTIÃO DO MARANHÃO,3164506,maranhense,SABRINA MESQUITA LIMA,517.830,9884,20.56,96,581,28.04,2075220609,1911688992,757942
SÃO SEBASTIÃO DO OESTE,3164605,sebastianense,BELARMINO LUCIANO LEITE,408.090,6948,14.22,97.3,626,7.3,3481455318,2535727354,6042552
SÃO SEBASTIÃO DO PARAÍSO,3164704,paraisense,MARCELO DE MORAIS,814.925,71915,79.74,97.8,722,14.51,18786305303,18095667381,2507034
SÃO SEBASTIÃO DO RIO PRETO,3164803,são-sebastianense,SEBASTIÃO EXPEDITO QUINTÃO DE ALMEIDA,128.002,1478,12.60,95.9,632,-,1121593404,936567823,1291062
SÃO SEBASTIÃO DO RIO VERDE,3164902,rio-verdense,SANDRO LISBOA MARTINS,90.848,2259,23.23,98.8,676,-,1288391577,1162058625,1268872
SÃO TIAGO,3165008,são-tiaguense,ALEXANDRE NONATO ALMEIDA VIVAS,572.400,10979,18.45,97,662,-,2522702233,2075169086,1552640
SÃO TOMÁS DE AQUINO,3165107,aquinense,RONEIDO TEOFILO DE CARVALHO,277.928,6980,25.52,97.6,700,-,2219675449,1993432606,1798939
SÃO TOMÉ DAS LETRAS,3165206,são-tomeense,TOME REIS ALVARENGA,369.747,7151,18.00,98,667,-,1680559751,1571472222,1295710
SÃO VICENTE DE MINAS,3165305,vicenciano,JACINTO ALAIR DE PAULA,392.651,7876,17.85,97.6,715,25.32,1984851173,1678817759,2099143
SAPUCAÍ-MIRIM,3165404,sapucaiense,NILSON GONÇALVES TRINDADE,285.073,7045,21.89,98.2,680,-,1875780355,1625030968,1478421
SARDOÁ,3165503,sardoense,IVANIA MARIA MAIA,141.904,6421,39.42,97.3,636,12.5,1762889348,1336074022,981578
SARZEDO,3165537,sarzedense,MARCELO PINHEIRO DO AMARAL,62.134,34050,415.46,99,734,5.81,10665117934,9199112062,2832286
SETUBINHA,3165552,setubinhense,VALDETE ALECRIM COELHO,534.655,12493,20.36,95.1,542,13.51,2236407646,2169977833,744542
SEM-PEIXE,3165560,sempeixiano,EDER ELOI ALVES PENA,176.634,2579,16.12,99.7,654,-,1285708414,1183600156,1130870
SENADOR AMARAL,3165578,amaralense,ADEMILSON LOPES DA SILVEIRA,151.097,5365,34.54,98.9,661,9.17,173273041,1473443624,1130513
SENADOR CORTES,3165602,senador-cortense,JOÃO LUCIO DUTRA FERREIRA,98.336,2001,20.22,99.3,674,40,1334109759,1215305676,1369248
SENADOR FIRMINO,3165701,firminense,WILLIAM FERNANDES MUSSI,166.495,7902,43.42,93.6,644,11.63,2082831999,1874143026,1032695
SENADOR JOSÉ BENTO,3165800,senabentense,FERNANDO CESAR FERNANDES,93.892,1422,19.90,100,684,90.91,1207360053,1076996846,1466887
SENADOR MODESTINO GONÇALVES,3165909,modestinense,JOSE GERALDO NEVES,952.055,4056,4.80,98.7,620,-,1622207621,1431800812,2336520
SENHORA DE OLIVEIRA,3166006,oliveirense,JOSE AURELIANO DA SILVA,170.749,5786,33.28,96,631,17.24,1678131465,1574097866,1199784
SENHORA DO PORTO,3166105,portuense,RONAN JOSÉ PORTILHO,381.328,3516,9.17,97.7,565,22.73,157757016,1398842704,1028735
SENHORA DOS REMÉDIOS,3166204,remediense,WILLIAN NUNES DORNELAS,237.815,10474,42.87,97.4,626,10.64,1922103346,1743138785,787236
SERICITA,3166303,sericitense,ARTHUR EVERARDO CRUZ VALVERDE,166.012,7340,42.94,93.9,560,-,1827707291,1806800345,1018689
SERITINGA,3166402,seritinguense,MARCO ANTONIO MANSUR MOREIRA,114.769,1857,15.59,97.4,660,38.46,1329272922,110092207,1915891
SERRA AZUL DE MINAS,3166501,serra-azulense,LEONARDO DO CARMO COELHO,218.595,4292,19.31,90.8,557,-,1415552592,1175026831,780986
SERRA DA SAUDADE,3166600,serrano-saudalense,ALAÔR JOSÉ MACHADO,335.659,771,2.43,96.5,677,-,1339682615,1277454748,2390453
SERRA DOS AIMORÉS,3166709,serrense,IRAN PACHECO CORDEIRO,213.574,8725,39.39,97.5,651,10.53,1827171891,149653523,1014167
SERRA DO SALITRE,3166808,serralitrense,PAULO GIOVANI SILVEIRA DE MELO,1.295.272,11750,8.14,97.2,696,11.24,4677766783,3792587372,4145235
SERRANIA,3166907,serraniense,LUIZ GONZAGA RIBEIRO NETO,209.270,7667,36.04,96.2,677,23.53,2068443174,1869678968,1741429
SERRANÓPOLIS DE MINAS,3166956,serranopolitano de minas,MAX VINICIUS AGUIAR MARTINS,551.954,4836,08.02,99.3,633,20.41,160008826,1436017456,742259
SERRANOS,3167004,serranense,MARCELO AZEVEDO CARVALHO,213.173,1949,9.36,97.1,643,-,146711887,1238715762,1460280
SERRO,3167103,serrano,EPAMINONDAS PIRES DE MIRANDA,1.217.813,20915,17.11,97.9,656,19.16,4137135969,3572065236,1107452
SETE LAGOAS,3167202,sete-lagoano,DUÍLIO DE CASTRO FARIA,536.928,243950,398.32,98.6,760,13.82,65399894284,60125990186,3593326
SILVEIRÂNIA,3167301,silveiranense,JÂNIO DAVID LAMAS,157.456,2267,13.92,94.5,652,-,1257059233,1065540001,1205232
SILVIANÓPOLIS,3167400,silvianopolense,HOMERO BRASIL FILHO,312.166,6258,19.31,98.4,699,-,1713171709,1461747533,1517907
SIMÃO PEREIRA,3167509,simonense,DAVID CARVALHO PIMENTA,135.689,2621,18.70,91.8,638,-,1738335482,1495924983,2745789
SIMONÉSIA,3167608,simonense,MARINALVA FERREIRA,486.543,19834,37.61,97.7,632,13.74,3552617988,3176027584,953648
SOBRÁLIA,3167707,sobraliense,ROBERTO MOREIRA RODRIGUES JUNIOR,206.787,5476,28.19,98,631,18.18,1669800689,1828009297,944523
SOLEDADE DE MINAS,3167806,soledadense,LUCIO ANTONIO ALVES,196.866,6226,28.83,97.1,697,-,168048844,1529496283,953507
TABULEIRO,3167905,tabuleirense,AILTON SERGIO MOREIRA FERRAZ,211.084,3669,19.32,99.6,681,23.26,1464246631,1284686803,1331192
TAIOBEIRAS,3168002,taiobeirense,DENERVAL GERMANO DA CRUZ,1.220.046,34653,25.88,98.3,670,8.93,68330103,6542687772,1304939
TAPARUBA,3168051,taparubense,JOAQUIM DE ABREU FILHO,193.082,3093,16.25,97.6,645,-,1457058495,1358231601,1112250
TAPIRA,3168101,tapirense,MAURA ASSUNÇÃO DE MELO PONTES,1.179.248,4890,3.49,97.2,712,-,4967628838,3904856722,13199761
TAPIRAÍ,3168200,tapiraiense,RONALDO PEREIRA CARDOSO,407.920,1869,4.59,95.7,667,-,1305815195,1138923605,2098024
TAQUARAÇU DE MINAS,3168309,taquaraçuense,MARCILIO BEZERRA DA CRUZ,329.287,4120,11.52,98.8,651,-,165217331,1526471496,1165431
TARUMIRIM,3168408,tarumirinhense,MARCILIO DE PAULA BOMFIM,731.753,14280,19.53,97.1,633,25.86,2787279852,2779170862,1007686
TEIXEIRAS,3168507,teixeirense,NIVALDO RITA,166.735,11680,68.10,96.5,675,17.39,2503146145,2375882411,1217961
TEÓFILO OTONI,3168606,teófilo-otonense,DANIEL BATISTA SUCUPIRA,3.242.270,141269,41.56,96.6,701,11.71,33012335052,3281713582,1794267
TIMÓTEO,3168705,timotense,DOUGLAS WILLKYS ALVES OLIVEIRA,144.381,91268,562.70,98.6,770,5.2,18915149084,15559942362,3615409
TIRADENTES,3168804,tiradentino,NILZIO BARBOSA,83.047,8160,83.82,98,740,-,2219376336,1793376334,2063371
TIROS,3168903,tirense,IVAN PEREIRA NUNES,2.091.774,6369,3.30,97.7,683,22.99,2497136869,2294167879,3023646
TOCANTINS,3169000,tocantinense,SILAS FORTUNATO DE CARVALHO,173.866,16769,91.01,98.2,688,10.7,3748235009,3225677071,1656931
TOCOS DO MOJI,3169059,tocos-mogiense,GIVANILDO JOSE DA SILVA,114.705,4117,34.44,98.8,696,-,1419029209,1204521125,1254969
TOLEDO,3169109,toledense,EDIO DONIZETI LEME,136.776,6336,42.14,98.1,661,21.74,171703565,1361583985,1203388
TOMBOS,3169208,tombense,TIAGO PEDROSA LAZZARONI DALPÉRIO,285.124,7683,33.45,97.5,718,23.81,2199548845,2089132299,1197093
TRÊS CORAÇÕES,3169307,tricordiano,JOSÉ ROBERTO DE PAIVA GOMES,828.038,80561,87.88,97.7,744,14.85,17695282623,15753663957,2930040
TRÊS MARIAS,3169356,trimariense,ADAIR DIVINO DA SILVA,2.678.253,33062,10.57,98.6,752,5.28,10773957312,9403074817,8450537
TRÊS PONTAS,3169406,três-pontano,MARCELO CHAVES GARCIA,689.794,57127,78.08,97.8,731,14.45,14767411021,12567197058,2381073
TUMIRITINGA,3169505,tumiritinguense,NILSON GUIMARAES,500.073,6797,12.58,97.5,626,13.16,1957885374,1826568122,835116
TUPACIGUARA,3169604,tupaciguarense,FRANCISCO LOURENÇO BORGES NETO,1.822.530,25466,13.26,97.7,719,19.92,8845762512,7351603424,2577682
TURMALINA,3169703,turmalinense,ZILMAR PINHEIRO LOPES,1.153.111,20280,15.66,99.2,682,8,5207828026,4668830147,1878434
TURVOLÂNDIA,3169802,turvolandense,JOSE NELSON MARTINS,221.000,5099,21.08,98.5,696,15.63,1697815963,149653786,2003016
UBÁ,3169901,ubaense,EDSON TEIXEIRA FILHO,407.452,117995,249.16,97,724,6.71,2316845932,17469282577,2388441
UBAÍ,3170008,ubaiense,FARLEY VIEIRA RIBEIRO,820.524,12661,14.24,96.1,609,-,2330390909,2001383541,788985
UBAPORANGA,3170057,ubaporanguense,GLEYDSON DELFINO FERREIRA,189.045,12514,63.69,96.9,614,25.81,2234515494,2214911732,986017
UBERABA,3170107,uberabense,ELISA GONÇALVES DE ARAÚJO,4.523.957,340277,65.43,97.7,772,14.57,108683865063,97709828452,4452283
UBERLÂNDIA,3170206,uberlandense,ODELMO LEÃO CARNEIRO SOBRINHO,4.115.206,706597,146.78,98,789,9.92,217150412056,203821789792,5480125
UMBURATIBA,3170305,umburatibense,BELARMINO TEIXEIRA DA COSTA,405.834,2582,6.67,98.3,638,25,1348813908,1317489968,1139276
UNAÍ,3170404,unaiense,JOSE GOMES BRANQUINHO,8.445.432,85461,9.18,97.6,736,9.88,26263004439,2004879794,3885078
UNIÃO DE MINAS,3170438,uniense,GEOVA TOMAZ DE ALMEIDA,1.147.407,4265,3.85,97.3,672,-,186765864,16855797,2568397
URUANA DE MINAS,3170479,uruanense,TANIA MENEZES LEPESQUEUR,598.221,3256,5.41,99.1,664,-,1685833369,1573734037,1525709
URUCÂNIA,3170503,urucaniense,JOSÉ MÁRCIO GOMES OSÓRIO,138.792,10333,74.15,99,633,7.19,2551661355,2293436391,1647083
URUCUIA,3170529,urucuiano,RUTILIO EUGENIO CAVALCANTI FILHO,2.076.942,17470,6.55,95.6,619,-,3390077728,3131776675,792662
VARGEM ALEGRE,3170578,vargealegrense,MARIA CECILIA DA COSTA GARCIA,116.664,6460,55.38,98.5,631,14.49,1704315446,1377964262,993684
VARGEM BONITA,3170602,vargiano,SAMUEL ALVES DE MATOS,409.888,2143,5.28,100,696,-,1452292375,1142790075,2017345
VARGEM GRANDE DO RIO PARDO,3170651,vargengrandense,GABRIEL ARCANJO BRAZ,491.512,5045,9.63,96.8,634,-,1526283758,1435538444,938524
VARGINHA,3170701,varginhense,VERDI LUCIO MELO,395.396,137608,311.29,97.9,778,7.78,41785575203,34347349198,4099476
VARJÃO DE MINAS,3170750,varjonense,WALTER PEREIRA FILHO,651.505,7235,9.29,99,711,24.79,2295189157,2528484901,2116617
VÁRZEA DA PALMA,3170800,várzea-palmense,EDUARDO MONTEIRO DE ABREU,2.220.279,40101,16.13,96.9,666,4.73,7928434292,6963512749,1828820
VARZELÂNDIA,3170909,varzelandense,VALQUÍRIA RODRIGUES CARDOSO,814.994,19290,23.46,97.1,594,7.63,3848306353,3673745237,814256
VAZANTE,3171006,vazantino,JACQUES SOARES GUIMARÃES,1.913.396,20692,10.31,97.3,742,20,58512554,47095244,3495617
VERDELÂNDIA,3171030,verdelandense,JARBAS SOARES ROCHA,1.570.582,9527,5.31,95.5,584,8.62,2052984617,1997108961,898419
VEREDINHA,3171071,veredinhense,EDILSON NUNES DE ARAUJO,631.692,5733,8.78,98,632,50,1927653514,1795801614,1740636
VERÍSSIMO,3171105,verissimense,LUIZ CARLOS DA SILVA,1.031.823,4090,3.38,94.4,667,-,1854715224,1526332091,2860419
VERMELHO NOVO,3171154,vermelhense,JOSE DAS GRACAS SILVA,115.242,4852,40.69,94.3,612,17.86,1491599542,1315187153,955382
VESPASIANO,3171204,vespasianense,ILCE ALVES ROCHA PERDIGÃO,71.040,131849,1467.62,96.7,688,7.21,27318726313,24875940582,1941559
VIÇOSA,3171303,viçosense,RAIMUNDO NONATO CARDOSO,299.418,79910,241.20,99,775,12.88,20783085241,1906364223,2083220
VIEIRAS,3171402,vieirense,RICARDO CELLES MAIA,112.691,3570,33.11,99.2,668,-,1457072247,1222179817,1048273
MATHIAS LOBATO,3171501,matiense,KARLA PESSAMILIO SOUZA LOPES,172.297,3157,19.56,96.8,612,52.63,1539861097,1379536113,1014225
VIRGEM DA LAPA,3171600,virgem-lapense,DIOGENES TIMO SILVA,868.914,13729,15.67,92.1,610,16,2800284322,2639512031,843513
VIRGÍNIA,3171709,virginense,CARLOS EDUARDO COSTA NEGREIROS,326.515,8652,26.41,96.9,651,31.91,2175219209,1699117341,1331272
VIRGINÓPOLIS,3171808,virginopolitano,BOBY CHARLES DAS DORES LEÃO,439.878,10459,24.03,98.2,675,-,2724344879,2456206588,1403109
VIRGOLÂNDIA,3171907,virgolandense,JOSE ISMAR DE ASSIS NETO,281.022,5303,20.13,98.4,620,-,1618039857,1420491957,876488
VISCONDE DO RIO BRANCO,3172004,rio-branquense,LUIZ FABIO ANTONUCCI FILHO,243.351,43351,155.91,97.5,709,7.56,9562201006,9480405883,2663850
VOLTA GRANDE,3172103,volta-grandense,JORGE LUIZ GOMES DA COSTA,205.552,5270,24.36,98,669,16.39,1700837192,143554238,1600597
WENCESLAU BRAZ,3172202,wenceslauense,EDVALDO JOSE BITENCOURT,102.487,2543,24.91,98.3,678,-,120985477,1001916868,1044667
