Município,Codigo_IBGE,Gentílico,Prefeito,Área Territorial,População Estimada,Densidade Demográfica,Escolarização 6 a 14 anos,IDHM,Mortalidade Infantil,Receitas Realizadas,Despesas empenhadas,PIB per capita
CAPARAÓ,3112109,caparaoense,DIÓGENIS DA SILVA MIRANDA,130.694,5464,39.86,94.1,624,-,1666696598,154391566,1299320
CAPELA NOVA,3112208,capela-novense,ADELMO DE REZENDE MOREIRA,111.073,4616,42.81,95,648,20,1356764162,1269555317,1036775
CAPELINHA,3112307,capelinhense,TADEU FILIPE FERNANDES DE ABREU,965.292,38321,36.05,97.3,653,5.12,6887377075,6345298172,1701852
CAPETINGA,3112406,capetinguense,LUIZ CÉSAR GUILHERME,297.937,6860,23.79,96.3,675,54.05,1830266154,1614694489,1998973
CAPIM BRANCO,3112505,capim-branquense,ELVIS PRESLEY MOREIRA GONÇALVES,95.333,9896,93.16,99.3,695,18.02,2062225359,1853091273,919733
CAPINÓPOLIS,3112604,capinopolino,CLEIDIMAR ZANOTTO,620.716,16294,24.63,99.6,723,-,4867149021,4420139257,2548229
CAPITÃO ANDRADE,3112653,capitão andradense,AROLDO MIRANDA DA SILVA,279.088,5559,17.65,99.3,624,-,1620137965,1556297927,875554
CAPITÃO ENÉAS,3112703,capitão-eneense ou eneapolitano,REINALDO LANDULFO TEIXEIRA,971.576,15388,14.62,96.9,639,10.31,54216513,3166413719,2041938
CAPITÓLIO,3112802,capitolino,CRISTIANO GERALDO DA SILVA,521.802,8693,15.68,99,710,9.62,3413198474,3055697551,2904494
CAPUTIRA,3112901,caputirense,CELSO GONCALVES ANTUNES,187.704,9318,48.11,96.4,615,09.09,1770078134,16580574,862134
CARAÍ,3113008,caraiense,HEBER GOMES NEIVA,1.242.345,23872,17.99,96.2,558,19.46,4035296771,3722576242,655354
CARANAÍBA,3113107,caranaibense,FÁBIO HENRIQUES DUTRA,159.950,3150,20.56,97.9,634,121.21,1487147023,1342519517,1005280
CARANDAÍ,3113206,carandaiense,WASHINGTON LUIS GRAVINA TEIXEIRA,487.280,25831,48.06,98.8,697,10.31,634692074,5659385522,1880032
CARANGOLA,3113305,carangolense,SILAS VIEIRA,353.404,33022,91.39,96.9,695,12.76,7770521627,6950534885,1614540
CARATINGA,3113404,caratinguense,WELINGTON MOREIRA DE OLIVEIRA,1.258.479,93124,67.72,95.4,706,16.49,16734356203,15626363469,1856543
CARBONITA,3113503,carbonitense,NIVALDO MORAES SANTANA,1.456.095,9423,6.28,99.4,638,11.11,2401372695,2085704579,1755000
CAREAÇU,3113602,careaçuense,TOVAR DOS SANTOS BARROSO,181.009,6826,34.79,98,683,-,1898164211,1432255653,2079413
CARLOS CHAGAS,3113701,carlos-chaguense,JOSE AMADEU NANAYOSKI TAVARES,3.202.984,18516,6.27,97.6,648,13.22,5513344539,4783956841,1772250
CARMÉSIA,3113800,carmesense,ATOS TÁCIO SOARES DE OLIVEIRA,259.103,2660,9.44,99.3,650,-,1779845513,140167498,1107592
CARMO DA CACHOEIRA,3113909,carmo-cachoeirense,HELCIO ANTONIO CHAGAS REIS,506.333,12193,23.38,94,655,14.08,3086134325,2629000925,1833514
CARMO DA MATA,3114006,carmense,JOSE CARLOS LOBATO,357.178,11546,30.59,97.9,689,-,2933652776,2361515568,1589566
CARMO DE MINAS,3114105,carmoense,DARCI PALMA DE MELO,322.285,15031,42.66,98,682,7.35,3504137401,3118427312,1329723
CARMO DO CAJURU,3114204,cajuruense,EDSON DE SOUZA VILELA,455.808,22900,43.90,98.5,710,10.53,5617772148,5014210527,1830930
CARMO DO PARANAÍBA,3114303,carmense,CESAR CAETANO DE ALMEIDA FILHO,1.307.862,30339,22.74,97.5,705,19.44,858487568,730505253,2374039
CARMO DO RIO CLARO,3114402,carmelitano,FILIPE CARDOSO CARIELO,1.065.685,21310,19.17,96.4,733,-,4987971862,4007512953,2234674
CARMÓPOLIS DE MINAS,3114501,carmopolitano,JOSÉ OMAR PAOLINELLI,400.010,19756,42.62,95.6,700,13.89,426282506,422819577,2156769
CARNEIRINHO,3114550,carneirinhense,WILLIAN MARTINS MAIA,2.063.462,10103,4.59,97.9,741,-,4754026478,3741281854,3185526
CARRANCAS,3114600,carranquense,HELY ANDRADE ALVES,727.894,4052,5.42,96.8,725,63.83,1824030463,1430298659,2062054
CARVALHÓPOLIS,3114709,carvalhopolitano,JOSE ANTONIO DE CARVALHO,81.101,3614,41.20,100,724,-,1779974875,1368278561,1306390
CARVALHOS,3114808,carvalhense,VALMIR SIQUEIRA DA SILVA,282.254,4445,16.14,96.5,646,23.26,1381493736,1309665487,1297704
CASA GRANDE,3114907,casa-grandense,LUIZ OTÁVIO GONÇALVES,157.727,2251,14.23,96.3,652,-,1326000366,1162002967,1952313
CASCALHO RICO,3115003,cascalho-riquense,JOSÉ BORGES DE OLIVEIRA,367.308,3108,7.78,96.6,721,-,2032073597,1743508918,1674773
